name,career_url,ats_type,h1b_history_score,priority,is_active,notes
Hermeus,hermeus,lever,40,low,1,bulk-verified; 111 jobs
Whymonster,whymonster,lever,40,low,1,bulk-verified; 111 jobs
Doitintl,doitintl,greenhouse,40,low,1,bulk-verified; 110 jobs
Decagon,decagon,ashby,40,low,1,bulk-verified; 110 jobs
Bondvet,bondvet,greenhouse,40,low,1,bulk-verified; 109 jobs
Harnessinc,harnessinc,greenhouse,40,low,1,bulk-verified; 109 jobs
Langchain,langchain,ashby,40,low,1,bulk-verified; 109 jobs
The Exploration Company,the-exploration-company,ashby,40,low,1,bulk-verified; 109 jobs
Artefactlinkedin,artefactlinkedin,greenhouse,40,low,1,bulk-verified; 108 jobs
Dental365,dental365,greenhouse,40,low,1,bulk-verified; 108 jobs
Cursor,cursor,ashby,40,low,1,bulk-verified; 108 jobs
Cresta,cresta,greenhouse,40,low,1,bulk-verified; 107 jobs
Hrpliving,hrpliving,greenhouse,40,low,1,bulk-verified; 107 jobs
Payoneer,payoneer,greenhouse,40,low,1,bulk-verified; 107 jobs
Smartsheet,smartsheet,greenhouse,40,low,1,bulk-verified; 107 jobs
Spsnorthamerica,spsnorthamerica,greenhouse,40,low,1,bulk-verified; 107 jobs
Xero,xero,ashby,40,low,1,bulk-verified; 107 jobs
Edgewoodpartnersinsurancecenter,edgewoodpartnersinsurancecenter,greenhouse,40,low,1,bulk-verified; 106 jobs
Focusfinancialpartners,focusfinancialpartners,greenhouse,40,low,1,bulk-verified; 106 jobs
Gohighlevel,gohighlevel,lever,40,low,1,bulk-verified; 106 jobs
Eliseai,eliseai,ashby,40,low,1,bulk-verified; 106 jobs
Nubank,nubank,greenhouse,40,low,1,bulk-verified; 105 jobs
Hightechhigh,hightechhigh,lever,40,low,1,bulk-verified; 105 jobs
Jushico,jushico,lever,40,low,1,bulk-verified; 105 jobs
Grafanalabs,grafanalabs,greenhouse,40,low,1,bulk-verified; 104 jobs
Gympass,gympass,greenhouse,40,low,1,bulk-verified; 104 jobs
Jdsports,jdsports,greenhouse,40,low,1,bulk-verified; 104 jobs
Crestoperations,crestoperations,lever,40,low,1,bulk-verified; 104 jobs
Helion,helion,ashby,40,low,1,bulk-verified; 104 jobs
Plaid,plaid,ashby,40,low,1,bulk-verified; 104 jobs
Justworks,justworks,greenhouse,40,low,1,bulk-verified; 103 jobs
Ableserve,ableserve,lever,40,low,1,bulk-verified; 103 jobs
Apex Technology Inc,apex-technology-inc,ashby,40,low,1,bulk-verified; 103 jobs
Advancedtechnologyservices,advancedtechnologyservices,greenhouse,40,low,1,bulk-verified; 102 jobs
Commvault,commvault,greenhouse,40,low,1,bulk-verified; 102 jobs
Figureai,figureai,greenhouse,40,low,1,bulk-verified; 102 jobs
Guidepoint,guidepoint,greenhouse,40,low,1,bulk-verified; 102 jobs
Guildgaragegroup,guildgaragegroup,greenhouse,40,low,1,bulk-verified; 102 jobs
Oura,oura,greenhouse,40,low,1,bulk-verified; 102 jobs
Motional,motional,greenhouse,40,low,1,bulk-verified; 101 jobs
Neuraflash,neuraflash,greenhouse,40,low,1,bulk-verified; 101 jobs
Noxgroup,noxgroup,greenhouse,40,low,1,bulk-verified; 101 jobs
Pattern,pattern,lever,40,low,1,bulk-verified; 101 jobs
Fundraiseup,fundraiseup,greenhouse,40,low,1,bulk-verified; 100 jobs
Jetbrains,jetbrains,greenhouse,40,low,1,bulk-verified; 100 jobs
Lgelectronics,lgelectronics,greenhouse,40,low,1,bulk-verified; 100 jobs
Alfredbeneschco,alfredbeneschco,greenhouse,40,low,1,bulk-verified; 99 jobs
Cerebrassystems,cerebrassystems,greenhouse,40,low,1,bulk-verified; 99 jobs
