name,career_url,ats_type,h1b_history_score,priority,is_active,notes
Saludamedical,saludamedical,bamboohr,40,low,1,bamboohr; 26 US jobs
Seabirdisland,seabirdisland,bamboohr,40,low,1,bamboohr; 26 US jobs
Ajcgroup,ajcgroup,bamboohr,40,low,1,bamboohr; 25 US jobs
Beamca,beamca,bamboohr,40,low,1,bamboohr; 25 US jobs
Bladmin,bladmin,bamboohr,40,low,1,bamboohr; 25 US jobs
Buildsafe,buildsafe,bamboohr,40,low,1,bamboohr; 25 US jobs
Caseyconstruction,caseyconstruction,bamboohr,40,low,1,bamboohr; 25 US jobs
Cbtreatmentcenter,cbtreatmentcenter,bamboohr,40,low,1,bamboohr; 25 US jobs
Cglca,cglca,bamboohr,40,low,1,bamboohr; 25 US jobs
Clearwayhealth,clearwayhealth,bamboohr,40,low,1,bamboohr; 25 US jobs
Commonwise,commonwise,bamboohr,40,low,1,bamboohr; 25 US jobs
Compuraymedical,compuraymedical,bamboohr,40,low,1,bamboohr; 25 US jobs
Couples,couples,bamboohr,40,low,1,bamboohr; 25 US jobs
Cwcos,cwcos,bamboohr,40,low,1,bamboohr; 25 US jobs
Eposnowgroup,eposnowgroup,bamboohr,40,low,1,bamboohr; 25 US jobs
Foho,foho,bamboohr,40,low,1,bamboohr; 25 US jobs
Garcesgrablerlebrocq3,garcesgrablerlebrocq3,bamboohr,40,low,1,bamboohr; 25 US jobs
Hakubahotelgroup,hakubahotelgroup,bamboohr,40,low,1,bamboohr; 25 US jobs
Highway140Enterprises,highway140enterprises,bamboohr,40,low,1,bamboohr; 25 US jobs
Hilite,hilite,bamboohr,40,low,1,bamboohr; 25 US jobs
Hputx,hputx,bamboohr,40,low,1,bamboohr; 25 US jobs
Ingeniumschools,ingeniumschools,bamboohr,40,low,1,bamboohr; 25 US jobs
Intellectix,intellectix,bamboohr,40,low,1,bamboohr; 25 US jobs
Leadershipschool,leadershipschool,bamboohr,40,low,1,bamboohr; 25 US jobs
Mchwc,mchwc,bamboohr,40,low,1,bamboohr; 25 US jobs
Montroseholdings,montroseholdings,bamboohr,40,low,1,bamboohr; 25 US jobs
Photofax,photofax,bamboohr,40,low,1,bamboohr; 25 US jobs
Rovd,rovd,bamboohr,40,low,1,bamboohr; 25 US jobs
Ryzeclaims,ryzeclaims,bamboohr,40,low,1,bamboohr; 25 US jobs
Sortitt,sortitt,bamboohr,40,low,1,bamboohr; 25 US jobs
Superservicetoday,superservicetoday,bamboohr,40,low,1,bamboohr; 25 US jobs
Tmpc,tmpc,bamboohr,40,low,1,bamboohr; 25 US jobs
Tnuck,tnuck,bamboohr,40,low,1,bamboohr; 25 US jobs
Totalrehab1,totalrehab1,bamboohr,40,low,1,bamboohr; 25 US jobs
Wvjc,wvjc,bamboohr,40,low,1,bamboohr; 25 US jobs
Bwwmh,bwwmh,bamboohr,40,low,1,bamboohr; 24 US jobs
Cardinalcivilresources,cardinalcivilresources,bamboohr,40,low,1,bamboohr; 24 US jobs
Connexushub,connexushub,bamboohr,40,low,1,bamboohr; 24 US jobs
Contentguru,contentguru,bamboohr,40,low,1,bamboohr; 24 US jobs
Cortina,cortina,bamboohr,40,low,1,bamboohr; 24 US jobs
Directaccessathome,directaccessathome,bamboohr,40,low,1,bamboohr; 24 US jobs
Ehcc,ehcc,bamboohr,40,low,1,bamboohr; 24 US jobs
Emilanderson,emilanderson,bamboohr,40,low,1,bamboohr; 24 US jobs
Espositoconstruction,espositoconstruction,bamboohr,40,low,1,bamboohr; 24 US jobs
Everhomehealthcare,everhomehealthcare,bamboohr,40,low,1,bamboohr; 24 US jobs
Financialgrade,financialgrade,bamboohr,40,low,1,bamboohr; 24 US jobs
Fournierfils,fournierfils,bamboohr,40,low,1,bamboohr; 24 US jobs
Foxgroupcanada,foxgroupcanada,bamboohr,40,low,1,bamboohr; 24 US jobs
Foxnspwe,foxnspwe,bamboohr,40,low,1,bamboohr; 24 US jobs
Frontierschools,frontierschools,bamboohr,40,low,1,bamboohr; 24 US jobs
Fullcircle,fullcircle,bamboohr,40,low,1,bamboohr; 24 US jobs
Hitechautomotivegroup,hitechautomotivegroup,bamboohr,40,low,1,bamboohr; 24 US jobs
Htoemp,htoemp,bamboohr,40,low,1,bamboohr; 24 US jobs
Hualapai,hualapai,bamboohr,40,low,1,bamboohr; 24 US jobs
Hummingbirdresources,hummingbirdresources,bamboohr,40,low,1,bamboohr; 24 US jobs
Iaim,iaim,bamboohr,40,low,1,bamboohr; 24 US jobs
Jgmusa,jgmusa,bamboohr,40,low,1,bamboohr; 24 US jobs
Lavaisland,lavaisland,bamboohr,40,low,1,bamboohr; 24 US jobs
Mcmurry,mcmurry,bamboohr,40,low,1,bamboohr; 24 US jobs
Myblueprints,myblueprints,bamboohr,40,low,1,bamboohr; 24 US jobs
Newmedica,newmedica,bamboohr,40,low,1,bamboohr; 24 US jobs
