name,career_url,ats_type,h1b_history_score,priority,is_active,notes
Cineplex,cineplex|wd3|cineplex,workday,40,low,1,delta-verified; 134 jobs
Clearesult,clearesult|wd1|clearesult_external_careers,workday,40,low,1,delta-verified; 133 jobs
Cornell,cornell|wd1|ccecareerpage,workday,40,low,1,delta-verified; 133 jobs
Wilsonelserattorneys,wilsonelserattorneys,greenhouse,40,low,1,delta-verified; 131 jobs
Williams,williams|wd5|external,workday,40,low,1,delta-verified; 131 jobs
Zekelman,zekelman|wd12|careers,workday,40,low,1,delta-verified; 131 jobs
Zoetis,zoetis|wd5|broadbean_external,workday,40,low,1,delta-verified; 130 jobs
Tide,tide,greenhouse,40,low,1,delta-verified; 129 jobs
Thegialliancemanagementllccompany,thegialliancemanagementllccompany,greenhouse,40,low,1,delta-verified; 127 jobs
Cna,cna|wd1|cna_careers,workday,40,low,1,delta-verified; 127 jobs
Solvenergy,solvenergy|wd1|solv_external_career,workday,40,low,1,delta-verified; 127 jobs
Welbehealth,welbehealth,greenhouse,40,low,1,delta-verified; 125 jobs
Wellington,wellington|wd5|efc,workday,40,low,1,delta-verified; 125 jobs
Systemstechnologyresearch,systemstechnologyresearch,greenhouse,40,low,1,delta-verified; 124 jobs
Tenstorrent,tenstorrent,greenhouse,40,low,1,delta-verified; 122 jobs
Cscc,cscc|wd1|cscc_ext,workday,40,low,1,delta-verified; 120 jobs
Wwecorp,wwecorp|wd5|tko,workday,40,low,1,delta-verified; 119 jobs
Waldensecurity,waldensecurity,greenhouse,40,low,1,delta-verified; 118 jobs
Wayve,wayve,greenhouse,40,low,1,delta-verified; 118 jobs
Woolpert,woolpert,greenhouse,40,low,1,delta-verified; 118 jobs
Xcelenergy,xcelenergy|wd1|external,workday,40,low,1,delta-verified; 118 jobs
Townsquaremedia,townsquaremedia,greenhouse,40,low,1,delta-verified; 117 jobs
Capgroup,capgroup|wd1|capitalgroupcareers,workday,40,low,1,delta-verified; 116 jobs
Thinkacademyus,thinkacademyus,greenhouse,40,low,1,delta-verified; 115 jobs
Unitedveincenters,unitedveincenters,greenhouse,40,low,1,delta-verified; 115 jobs
Zone5Technologies,zone5technologies,greenhouse,40,low,1,delta-verified; 115 jobs
Zoetis,zoetis|wd5|zoetis,workday,40,low,1,delta-verified; 115 jobs
Vanleeuwenicecream,vanleeuwenicecream,greenhouse,40,low,1,delta-verified; 114 jobs
Syskahennessy,syskahennessy,greenhouse,40,low,1,delta-verified; 113 jobs
Wexinc,wexinc|wd5|wexinc,workday,40,low,1,delta-verified; 112 jobs
Wgu,wgu|wd5|external,workday,40,low,1,delta-verified; 112 jobs
Xenergy,xenergy|wd5|x-energyus,workday,40,low,1,delta-verified; 111 jobs
Zoom,zoom|wd5|zoom,workday,40,low,1,delta-verified; 111 jobs
Thequalitygroupgmbh1,thequalitygroupgmbh1,greenhouse,40,low,1,delta-verified; 110 jobs
Vailclinicincdbavailhealthhospital,vailclinicincdbavailhealthhospital,greenhouse,40,low,1,delta-verified; 110 jobs
Convatec,convatec|wd1|convatec,workday,40,low,1,delta-verified; 110 jobs
Ebnhc,ebnhc|wd1|ebnhc,workday,40,low,1,delta-verified; 109 jobs
Fastretailing,fastretailing|wd3|store_staff_eu_uniqlo,workday,40,low,1,delta-verified; 109 jobs
Snapchat,snapchat|wd1|sourced,workday,40,low,1,delta-verified; 109 jobs
Zelis,zelis|wd1|zeliscareers,workday,40,low,1,delta-verified; 109 jobs
Thequalitygroupgmbh2,thequalitygroupgmbh2,greenhouse,40,low,1,delta-verified; 107 jobs
